Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,0
Sample Interval,2e-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-9.534e-04,4.90813
-9.532e-04,4.91375
-9.530e-04,4.91563
-9.528e-04,4.91125
-9.526e-04,4.91844
-9.524e-04,4.91938
-9.522e-04,4.91406
-9.520e-04,4.9175
-9.518e-04,4.9125
-9.516e-04,4.9125
-9.514e-04,4.91688
-9.512e-04,4.91219
-9.510e-04,4.92188
-9.508e-04,4.91469
-9.506e-04,4.91406
-9.504e-04,4.92031
-9.502e-04,4.91563
-9.500e-04,4.91156
-9.498e-04,4.915
-9.496e-04,4.92344
-9.494e-04,4.91812
-9.492e-04,4.91312
-9.490e-04,4.91469
-9.488e-04,4.92531
-9.486e-04,4.91437
-9.484e-04,4.91125
-9.482e-04,4.91938
-9.480e-04,4.91625
-9.478e-04,4.915
-9.476e-04,4.91375
-9.474e-04,4.91219
-9.472e-04,4.91594
-9.470e-04,4.91688
-9.468e-04,4.905
-9.466e-04,4.90719
-9.464e-04,4.91031
-9.462e-04,4.91219
-9.460e-04,4.91375
-9.458e-04,4.90656
-9.456e-04,4.90719
-9.454e-04,4.91906
-9.452e-04,4.91719
-9.450e-04,4.91906
-9.448e-04,4.9075
-9.446e-04,4.91469
-9.444e-04,4.91344
-9.442e-04,4.91406
-9.440e-04,4.91375
-9.438e-04,4.90906
-9.436e-04,4.92125
-9.434e-04,4.92031
-9.432e-04,4.91
-9.430e-04,4.90375
-9.428e-04,4.90625
-9.426e-04,4.91063
-9.424e-04,4.90875
-9.422e-04,4.91469
-9.420e-04,4.91844
-9.418e-04,4.91969
-9.416e-04,4.9125
-9.414e-04,4.91156
-9.412e-04,4.91156
-9.410e-04,4.91594
-9.408e-04,4.91156
-9.406e-04,4.91906
-9.404e-04,4.91094
-9.402e-04,4.91469
-9.400e-04,4.91344
-9.398e-04,4.90625
-9.396e-04,4.91219
-9.394e-04,4.91156
-9.392e-04,4.91969
-9.390e-04,4.91906
-9.388e-04,4.91563
-9.386e-04,4.91188
-9.384e-04,4.92156
-9.382e-04,4.91437
-9.380e-04,4.91781
-9.378e-04,4.91344
-9.376e-04,4.91781
-9.374e-04,4.91688
-9.372e-04,4.91812
-9.370e-04,4.91312
-9.368e-04,4.91688
-9.366e-04,4.90625
-9.364e-04,4.9175
-9.362e-04,4.91406
-9.360e-04,4.91656
-9.358e-04,4.91375
-9.356e-04,4.91688
-9.354e-04,4.90969
-9.352e-04,4.91094
-9.350e-04,4.90875
-9.348e-04,4.91844
-9.346e-04,4.91437
-9.344e-04,4.91281
-9.342e-04,4.92312
-9.340e-04,4.90781
-9.338e-04,4.90906
-9.336e-04,4.91844
-9.334e-04,4.91312
-9.332e-04,4.91031
-9.330e-04,4.91875
-9.328e-04,4.91938
-9.326e-04,4.915
-9.324e-04,4.92125
-9.322e-04,4.90719
